Topic (EN),Topic (VI),Word A (EN),Word A (VI),Word B (EN),Word B (VI)
Drinks,Đồ uống,Mineral Water,Nước khoáng,Purified Water,Nước tinh khiết
Drinks,Đồ uống,Hot Chocolate,Ca-cao nóng,Matcha Latte,Trà xanh Latte
Animals,Động vật,Elephant,Voi,Mammoth,Voi ma-mút
Animals,Động vật,Dog,Chó,Coyote,Sói đồng cỏ
Animals,Động vật,Goat,Dê,Sheep,Cừu
Animals,Động vật,Deer,Hươu,Elk,Nai sừng tấm
Animals,Động vật,Camel,Lạc đà,Llama,Lạc đà không bướu
Animals,Động vật,Dolphin,Cá heo,Porpoise,Cá heo chuột
Animals,Động vật,Whale,Cá voi,Orca,Cá voi sát thủ
Animals,Động vật,Shark,Cá mập,Ray,Cá đuối
Animals,Động vật,Eagle,Đại bàng,Falcon,Chim ưng
Animals,Động vật,Hawk,Diều hâu,Vulture,Kền kền
Animals,Động vật,Parrot,Vẹt,Cockatoo,Vẹt mào
Animals,Động vật,Pigeon,Bồ câu,Dove,Bồ câu trắng
Animals,Động vật,Duck,Vịt,Goose,Ngỗng
Animals,Động vật,Swan,Thiên nga,Goose,Ngỗng
Animals,Động vật,Penguin,Chim cánh cụt,Puffin,Hải âu rụt cổ
Animals,Động vật,Turtle,Rùa nước,Tortoise,Rùa cạn
Animals,Động vật,Crocodile,Cá sấu Nam Mỹ,Alligator,Cá sấu Mỹ
Animals,Động vật,Salamander,Kỳ giông,Newt,Sa giông
Animals,Động vật,Jellyfish,Sứa,Anemone,Hải quỳ
Animals,Động vật,Starfish,Sao biển,Sea Urchin,Nhum biển
Animals,Động vật,Mouse,Chuột nhắt,Rat,Chuột cống
Animals,Động vật,Squirrel,Sóc,Chipmunk,Sóc kẻ sọc
Animals,Động vật,Koala,Gấu túi Koala,Panda,Gấu trúc
Animals,Động vật,Sloth,Con lười,Anteater,Thú ăn kiến
Animals,Động vật,Kangaroo,Chuột túi,Wallaby,Wallaby
Animals,Động vật,Monkey,Khỉ,Chimpanzee,Tinh tinh
Animals,Động vật,Gorilla,Khỉ đột,Orangutan,Đười ươi
Animals,Động vật,Seal,Hải cẩu,Sea Lion,Sư tử biển
Animals,Động vật,Walrus,Hải mã,Manatee,Lợn biển
Sports,Thể thao,Football,Bóng đá,Rugby,Bóng bầu dục
Sports,Thể thao,Cricket,Cricket,Baseball,Bóng chày
Sports,Thể thao,Tennis,Quần vợt,Table Tennis,Bóng bàn
Sports,Thể thao,Badminton,Cầu lông,Squash,Bóng quần (Squash)
Sports,Thể thao,Volleyball,Bóng chuyền,Beach Volleyball,Bóng chuyền bãi biển
Sports,Thể thao,Golf,Golf,Mini Golf,Mini Golf
Sports,Thể thao,Running,Chạy bộ,Sprinting,Chạy nước rút
Sports,Thể thao,Marathon,Marathon,Triathlon,3 môn phối hợp
Sports,Thể thao,Cycling,Đua xe đạp,Spinning,Đạp xe tập thể dục
Sports,Thể thao,Skiing,Trượt tuyết,Snowboarding,Trượt ván tuyết
Sports,Thể thao,Surfing,Lướt sóng,Windsurfing,Lướt ván buồm
Sports,Thể thao,Skating,Trượt băng,Rollerblading,Trượt patin
Sports,Thể thao,Boxing,Quyền anh,Kickboxing,Kickboxing
Sports,Thể thao,Karate,Karate,Taekwondo,Taekwondo
Sports,Thể thao,Judo,Judo,Wrestling,Đấu vật
Sports,Thể thao,Gymnastics,Thể dục dụng cụ,Trampoline,Nhảy đệm nhún
Sports,Thể thao,Rowing,Chèo thuyền,Kayaking,Chèo thuyền Kayak
Sports,Thể thao,Bowling,Bowling,Billiards,Bida
Sports,Thể thao,Chess,Cờ vua,Checkers,Cờ đam
Cartoons,Hoạt hình,Doraemon,Doraemon,Ninja Hattori,Ninja Hattori
Cartoons,Hoạt hình,Scooby-Doo,Scooby-Doo,Courage,Courage
Cartoons,Hoạt hình,Tom,Tom,Oggy,Oggy
Cartoons,Hoạt hình,Batman,Batman,Iron Man,Iron Man
Cartoons,Hoạt hình,Superman,Superman,Thor,Thor
Cartoons,Hoạt hình,Spider-Man,Spider-Man,Deadpool,Deadpool
Cartoons,Hoạt hình,Ben 10,Ben 10,Danny Phantom,Danny Phantom
Cartoons,Hoạt hình,Phineas,Phineas,Dexter,Dexter
Cartoons,Hoạt hình,Goku,Goku,Naruto,Naruto
Cartoons,Hoạt hình,Luffy,Luffy,Zoro,Zoro
Cartoons,Hoạt hình,Pikachu,Pikachu,Eevee,Eevee
Cartoons,Hoạt hình,Shrek,Shrek,Grinch,Grinch
Cartoons,Hoạt hình,Elsa,Elsa,Rapunzel,Rapunzel
Cartoons,Hoạt hình,Woody,Woody,Buzz Lightyear,Buzz Lightyear
Technology,Công nghệ,Windows,Windows,macOS,macOS
Technology,Công nghệ,Android,Android,iOS,iOS
Technology,Công nghệ,Chrome,Chrome,Firefox,Firefox
Technology,Công nghệ,Safari,Safari,Edge,Edge
Technology,Công nghệ,Intel,Intel,AMD,AMD
Technology,Công nghệ,NVIDIA,NVIDIA,Radeon,Radeon
Technology,Công nghệ,PlayStation,PlayStation,Xbox,Xbox
Technology,Công nghệ,Nintendo Switch,Nintendo Switch,Steam Deck,Steam Deck
Technology,Công nghệ,Wi-Fi,Wi-Fi,Bluetooth,Bluetooth
Technology,Công nghệ,4G,4G,5G,5G
Technology,Công nghệ,Mechanical Keyboard,Bàn phím cơ,Membrane Keyboard,Bàn phím cao su
Technology,Công nghệ,Laser Printer,Máy in laser,Inkjet Printer,Máy in phun
Technology,Công nghệ,Monitor,Màn hình máy tính,Television,Tivi
Technology,Công nghệ,Smart TV,Smart TV,Projector,Máy chiếu
Technology,Công nghệ,VR Headset,VR Headset,AR Glasses,AR Glasses
Places,Địa điểm,Airport,Sân bay,Train Station,Ga tàu
Places,Địa điểm,Hotel,Khách sạn,Homestay,Homestay
Places,Địa điểm,Cinema,Rạp chiếu phim,Theater,Nhà hát
Places,Địa điểm,Supermarket,Siêu thị,Convenience Store,Cửa hàng tiện lợi
Places,Địa điểm,Museum,Bảo tàng,Art Gallery,Triển lãm nghệ thuật
Places,Địa điểm,Gym,Phòng gym,Yoga Studio,Phòng tập yoga
Places,Địa điểm,Library,Thư viện,Bookstore,Hiệu sách
Places,Địa điểm,Cafe,Quán cà phê,Tea House,Quán trà
Places,Địa điểm,Park,Công viên,Botanical Garden,Vườn bách thảo
Places,Địa điểm,Zoo,Sở thú,Aquarium,Thủy cung
Places,Địa điểm,Bridge,Cầu,Tunnel,Đường hầm
Places,Địa điểm,Office,Văn phòng,Coworking Space,Văn phòng chia sẻ
Places,Địa điểm,Stadium,Sân vận động,Arena,Nhà thi đấu
Places,Địa điểm,Playground,Sân chơi trẻ em,Amusement Park,Công viên giải trí
Clothing,Trang phục,Silk,Lụa,Cotton,Vải bông
Clothing,Trang phục,Wool,Len,Cashmere,Vải Cashmere
Clothing,Trang phục,Leather,Da,Suede,Da lộn
Clothing,Trang phục,Polyester,Vải tổng hợp,Nylon,Nylon
Clothing,Trang phục,Sari,Sari,Kimono,Kimono
Clothing,Trang phục,Hanbok,Hanbok,Kimono,Kimono
Clothing,Trang phục,Denim,Vải Denim,Canvas,Vải Canvas
Clothing,Trang phục,Velvet,Vải nhung,Satin,Satin
Folk Tales,Truyện dân gian,Aladdin,Aladdin,Ali Baba,Ali Baba
Folk Tales,Truyện dân gian,Cinderella,Lọ Lem,Snow White,Bạch Tuyết
Folk Tales,Truyện dân gian,Little Red Riding Hood,Cô bé quàng khăn đỏ,Goldilocks,Cô bé tóc vàng
Folk Tales,Truyện dân gian,Robin Hood,Robin Hood,Peter Pan,Peter Pan
Folk Tales,Truyện dân gian,King Arthur,Vua Arthur,Merlin,Pháp sư Merlin
Folk Tales,Truyện dân gian,Hercules,Hercules,Achilles,Achilles
Folk Tales,Truyện dân gian,Odysseus,Odysseus,Perseus,Perseus
Music,Âm nhạc,Pop,Nhạc Pop,R&B,Nhạc R&B
Music,Âm nhạc,Rock,Nhạc Rock,Metal,Nhạc Metal
Music,Âm nhạc,Jazz,Nhạc Jazz,Blues,Nhạc Blues
Music,Âm nhạc,Hip Hop,Nhạc Hip Hop,Rap,Nhạc Rap
Music,Âm nhạc,Classical,Nhạc cổ điển,Opera,Nhạc Opera
Music,Âm nhạc,EDM,Nhạc EDM,House,Nhạc House
Music,Âm nhạc,Country,Nhạc đồng quê,Folk,Nhạc dân ca
Music,Âm nhạc,Reggae,Nhạc Reggae,Ska,Nhạc Ska
Music,Âm nhạc,Acappella,Hát Acappella,Beatbox,Beatbox
Music,Âm nhạc,Acoustic,Acoustic,Synthesizer,Nhạc điện tử
Places,Địa điểm,Ba Na Hills,Bà Nà Hills,Fansipan,Fansipan
Places,Địa điểm,Mui Ne,Mũi Né,Phu Quốc,Phú Quốc
Places,Địa điểm,Pho Co Hoi An,Phố cổ Hội An,Pho Co Ha Noi,Phố cổ Hà Nội
Places,Địa điểm,Trang An,Tràng An,Vinh Ha Long,Vịnh Hạ Long
Places,Địa điểm,Sapa,Sapa,Moc Chau,Mộc Châu
Places,Địa điểm,Dai Nam Park,Khu du lịch Đại Nam,Suoi Tien Park,Khu du lịch Suối Tiên
Places,Địa điểm,Dam Sen Park,Công viên Đầm Sen,Thien Duong Bao Son,Thiên Đường Bảo Sơn
Food,Món ăn,Banh Trang Tron,Bánh tráng trộn,Banh Trang Nuong,Bánh tráng nướng
Food,Món ăn,Hot Vit Lon,Hột vịt lộn,Trung Cut Lon,Trứng cút lộn
Food,Món ăn,Nem Chua Ran,Nem chua rán,Khoai Tay Loc Xoay,Khoai tây lốc xoáy
Food,Món ăn,Bun Rieu,Bún riêu,Canh Bun,Canh bún
Food,Món ăn,Che Thai,Chè Thái,Che Buoi,Chè bưởi
Food,Món ăn,Xoi Xeo,Xôi xéo,Xoi Gac,Xôi gấc
Food,Món ăn,Banh Gio,Bánh giò,Banh Te,Bánh tẻ
Food,Món ăn,Lau Thai,Lẩu Thái,Lau Rieu Cua,Lẩu riêu cua
Food,Món ăn,Lau Thai,Lẩu Thái,Lau De,Lẩu dê
Food,Món ăn,Banh Cuon,Bánh cuốn,Banh Muost,Bánh mướt
Food,Món ăn,Thit Kho Tau,Thịt kho tàu,Ca Kho To,Cá kho tộ
Food,Món ăn,Bun Dau Mam Tom,Bún đậu mắm tôm,Bun Dau Nuoc Mam,Bún đậu nước mắm
Food,Món ăn,Bun Dau Mam Tom,Bún đậu mắm tôm,Bun Cha,Bún chả
Food,Món ăn,Com Chay,Cơm cháy,Com Lam,Cơm lam
Food,Món ăn,Nem Chua,Nem chua,Thit Chua,Thịt chua
Food,Món ăn,Doi Sun,Dồi sụn,Lap Xuong,Lạp xưởng
Food,Món ăn,Banh Khoai,Bánh khoai,Banh Chuoi Chien,Bánh chuối chiên
Food,Món ăn,Banh Trung Thu Thap Cam,Bánh nướng thập cẩm,Banh Trung Thu Dau Xanh,Bánh nướng đậu xanh
Drinks,Đồ uống,Tra Sua,Trà sữa,Sua Tuoi Tran Chau,Sữa tươi trân châu
Drinks,Đồ uống,Tra Sua,Trà sữa,Ca Phe Sua,Cà phê sữa
Drinks,Đồ uống,Tra Sua,Trà sữa,Tra Chanh,Trà chanh
Drinks,Đồ uống,Ca Phe Den,Cà phê đen,Ca Phe Sua,Cà phê sữa
Drinks,Đồ uống,Bia Hoi,Bia hơi,Bia Lon,Bia lon
Drinks,Đồ uống,Nuoc Mia,Nước mía,Tra Chanh,Trà chanh
Drinks,Đồ uống,Ruou Nep,Rượu nếp,Ruou Can,Rượu cần
Drinks,Đồ uống,Tra Atiso,Trà Atiso,Tra Hoa Cuc,Trà hoa cúc
Drinks,Đồ uống,Nuoc Sam,Nước sâm,Nuoc Dang,Nước đắng
Drinks,Đồ uống,Sinh to bo,Sinh tố bơ,Nuoc ep dua hau,Nước ép dưa hấu
Household,Đồ dùng gia đình,Vong Xep,Võng xếp,Ghe Xep,Ghế xếp
Household,Đồ dùng gia đình,Chieu Truc,Chiếu trúc,Chieu Dieu Hoa,Chiếu điều hòa
Household,Đồ dùng gia đình,Choi Chit,Chổi chít,Choi Nhua,Chổi nhựa
Household,Đồ dùng gia đình,Bep Gas,Bếp gas,Bep Tu,Bếp từ
Household,Đồ dùng gia đình,Noi Dat,Nồi đất,Noi Gang,Nồi gang
Household,Đồ dùng gia đình,Luong Ban,Lồng bàn,Tu Lanh,Tủ lạnh
Household,Đồ dùng gia đình,Chan Bat,Chạn bát,Tu Bep,Tủ bếp
Household,Đồ dùng gia đình,Lu Nuoc,Lu nước,Be Nuoc,Bể nước
Household,Đồ dùng gia đình,Gao Dua,Gáo dừa,Ca Nhua,Ca nhựa
Household,Đồ dùng gia đình,Mam Nhom,Mâm nhôm,Mam Go,Mâm gỗ
Household,Đồ dùng gia đình,Bep Cui,Bếp củi,Bep Gas,Bếp gas
Household,Đồ dùng gia đình,Den Dau,Đèn dầu,Den Pin,Đèn pin
Household,Đồ dùng gia đình,Binh Tich,Bình tích,Am Sieu Toc,Ấm siêu tốc
Household,Đồ dùng gia đình,Quat Tran,Quạt trần,Quat Cay,Quạt cây
Household,Đồ dùng gia đình,Man Chup,Màn chụp,Man Tuyn,Màn tuyn
Household,Đồ dùng gia đình,Phich Nuoc Rang Dong,Phích nước Rạng Đông,Binh Giu Nhiet,Bình giữ nhiệt
Household,Đồ dùng gia đình,Chau Nhom,Chậu nhôm,Chau Nhua,Chậu nhựa
Household,Đồ dùng gia đình,Goi Thao Duoc,Gối thảo dược,Goi Cao Su,Gối cao su
Household,Đồ dùng gia đình,Thot Go,Thớt gỗ,Thot Nhua,Thớt nhựa
Household,Đồ dùng gia đình,Ro Tre,Rổ tre,Ro Nhua,Rổ nhựa
Household,Đồ dùng gia đình,Nhang Muoi,Nhang muỗi,Vot Muoi,Vợt muỗi
Vehicles,Phương tiện,Vision Bike,Xe Vision,Lead Bike,Xe Lead
Vehicles,Phương tiện,Wave Bike,Xe Wave,Sirius Bike,Xe Sirius
Vehicles,Phương tiện,SH Bike,Xe SH,Vespa Bike,Xe Vespa
Vehicles,Phương tiện,Exciter Bike,Xe Exciter,Winner Bike,Xe Winner
Vehicles,Phương tiện,Xe dap dien,Xe đạp điện,Xe may dien,Xe máy điện
Vehicles,Phương tiện,Xe om,Xe ôm,Xe cong nghe,Xe ôm công nghệ
Vehicles,Phương tiện,Xe khach,Xe khách,Xe limousine,Xe limousine
Vehicles,Phương tiện,Xe loi,Xe lôi,Xe xich lo,Xe xích lô
Vehicles,Phương tiện,Ghe xuong,Ghe xuồng,Thuyen thung,Thuyền thúng
Clothing,Trang phục,Dep to ong,Dép tổ ong,Dep le tong,Dép xỏ ngón
Clothing,Trang phục,Khan ran,Khăn rằn,Khan len,Khăn len
Clothing,Trang phục,Ao chong nang,Áo chống nắng,Ao khoac gio,Áo gió
Clothing,Trang phục,Guoc moc,Guốc mộc,Dep le nhua,Dép nhựa
Objects,Đồ vật,Hop quet,Bật lửa / Hộp quẹt,Diem,Bao diêm
Objects,Đồ vật,Vot muoi,Vợt muỗi,Den bat muoi,Đèn bắt muỗi
Objects,Đồ vật,Nen thom,Nến thơm,Nhang,Nhang / Hương
Objects,Đồ vật,King lup,Kính lúp,Kinh hien vi,Kính hiển vi
Objects,Đồ vật,Ong heo dat,Heo đất tiết kiệm,Ket sat,Két sắt mini
Objects,Đồ vật,Quat giay,Quạt giấy,Quat mo,Quạt mo
Objects,Đồ vật,Ban do giay,Bản đồ giấy,Google Maps,Google Maps
Objects,Đồ vật,Dong ho bao thuc,Đồng hồ báo thức,Bao thuc dien thoai,Báo thức điện thoại
Animals,Động vật,Hamster,Chuột Hamster,Guinea Pig,Chuột Lang
Animals,Động vật,Poodle,Chó Poodle,Pug,Chó Pug
Animals,Động vật,Corgi,Chó Corgi,Husky,Chó Husky
Animals,Động vật,Golden Retriever,Chó Golden,Labrador,Chó Labrador
Animals,Động vật,Chihuahua,Chó Chihuahua,Pomeranian,Chó Phốc sóc
Animals,Động vật,Shiba Inu,Chó Shiba,Akita,Chó Akita
Animals,Động vật,British Shorthair,Mèo Anh lông ngắn,Persian Cat,Mèo Ba Tư
Animals,Động vật,Sphynx Cat,Mèo không lông Sphynx,Munchkin Cat,Mèo chân ngắn Munchkin
Animals,Động vật,Python,Con trăn,Viper,Rắn lục
Animals,Động vật,Cobra,Rắn hổ mang,Krait,Rắn cạp nia
Animals,Động vật,Sea Turtle,Rùa biển,Freshwater Turtle,Rùa nước ngọt
Animals,Động vật,Gecko,Tắc kè,Chameleon,Kỳ dông đổi màu
Animals,Động vật,Iguana,Kỳ đà,Monitor Lizard,Rồng Komodo
Animals,Động vật,Eagle,Đại bàng,Condor,Thần ưng
Animals,Động vật,Sparrow,Chim sẻ,Canary,Chim yến hót
Animals,Động vật,Woodpecker,Chim gõ kiến,Kingfisher,Chim bói cá
Animals,Động vật,Peacock,Con công,Pheasant,Chim trĩ
Animals,Động vật,Pigeon,Chim bồ câu,Seagull,Chim hải âu
Animals,Động vật,Swallow,Chim én,Swift,Chim yến
Animals,Động vật,Flamingo,Hồng hạc,Stork,Con cò
Animals,Động vật,Pelican,Bồ nông,Swan,Thiên nga
Animals,Động vật,Goldfish,Cá vàng,Koi Fish,Cá chép Koi
Animals,Động vật,Guppy,Cá bảy màu,Betta Fish,Cá chọi / Betta
Animals,Động vật,Arowana,Cá rồng,Flowerhorn,Cá la hán
Animals,Động vật,Piranha,Cá chim trắng / Piranha,Electric Eel,Lươn điện
Animals,Động vật,Clownfish,Cá hề,Blue Tang,Cá nẻ xanh
Animals,Động vật,Starfish,Sao biển,Sea Cucumber,Hải sâm
Animals,Động vật,Coral,San hô,Sea Anemone,Hải quỳ
Animals,Động vật,Earthworm,Giun đất,Leech,Con đỉa
Animals,Động vật,Centipede,Con rết,Millipede,Con cuốn chiếu
Food,Món ăn,Banh Canh,Bánh canh,Bun Quay,Bún quậy
Food,Món ăn,Bun Dau Mam Tom,Bún đậu mắm tôm,Bun Dau Nuoc Tuong,Bún đậu nước tương
Food,Món ăn,Banh Gio,Bánh giò,Banh Gio Bac,Bánh giò nóng
Food,Món ăn,Cha Muc,Chả mực,Cha Ca,Chả cá
Food,Món ăn,Com Nieu,Cơm niêu,Com Dap,Cơm đập
Food,Món ăn,Banh Bot Loc,Bánh bột lọc,Banh Nam,Bánh nậm
Food,Món ăn,Nem Lui,Nem lụi,Thit Nuong,Thịt nướng
Food,Món ăn,Banh Trang Nuong,Bánh tráng nướng,Banh Trang Cuon,Bánh tráng cuộn
Food,Món ăn,Kho Quet,Kho quẹt,Mam Kho Quet,Mắm kho quẹt
Food,Món ăn,Thit Trâu Gac Bep,Thịt trâu gác bếp,Lap Xuong Tay Bac,Lạp xưởng Tây Bắc
Food,Món ăn,Banh Pia,Bánh pía,Banh Pia Chay,Bánh pía chay
Food,Món ăn,Keo Cu Do,Kẹo cu đơ,Banh Da Ke,Bánh đa kê
Food,Món ăn,Bun Oc,Bún ốc,Bun Rieu Oc,Bún riêu ốc
Food,Món ăn,Chao Long,Cháo lòng,Chao Suon,Cháo sườn
Food,Món ăn,Bia Truc Bach,Bia Trúc Bạch,Bia Ha Noi,Bia Hà Nội
Food,Món ăn,Bia Sai Gon,Bia Sài Gòn,Bia 333,Bia 333
Drinks,Đồ uống,Ca Phe Cot Dua,Cà phê cốt dừa,Ca Phe Trung,Cà phê trứng
Drinks,Đồ uống,Bac Xiu,Bạc xỉu,Ca Phe Sua Da,Cà phê sữa đá
Drinks,Đồ uống,Tra Tac,Trà tắc,Nuoc Quat,Nước quất
Drinks,Đồ uống,Nuoc Nho Duong,Nước nho đường,Tra Sam Dat,Trà sâm đất
Drinks,Đồ uống,Soda Chanh,Soda chanh,Soda Sua Hot Ga,Soda sữa hột gà
Drinks,Đồ uống,Beer,Bia,Craft Beer,Bia thủ công (Craft)
Drinks,Đồ uống,Red Bull,Nước tăng lực Red Bull,Monster Energy,Monster Energy
Drinks,Đồ uống,Yogurt Drink,Sữa chua uống,Yakult,Sữa chua Yakult
Social Media,Mạng xã hội,TikTok Shop,TikTok Shop,Shopee Mall,Shopee Mall
Social Media,Mạng xã hội,Facebook Dating,Facebook Dating,Tinder,Tinder
Technology,Công nghệ,GrabCar,GrabCar,Xanh SM Car,Xanh SM Car
Technology,Công nghệ,GrabBike,GrabBike,Xanh SM Bike,Xanh SM Bike
Technology,Công nghệ,GrabFood,GrabFood,ShopeeFood,ShopeeFood
Technology,Công nghệ,Air Fryer,Nồi chiên không dầu,Oven,Lò nướng
Technology,Công nghệ,Air Fryer,Nồi chiên không dầu,Microwave,Lò vi sóng
Technology,Công nghệ,Face ID,Face ID,Touch ID,Touch ID
Technology,Công nghệ,Bluetooth Headset,Tai nghe Bluetooth,Wired Headset,Tai nghe có dây
Technology,Công nghệ,Mechanical Keyboard,Bàn phím cơ,Custom Keyboard,Bàn phím custom
Technology,Công nghệ,OLED Monitor,Màn hình OLED,LCD Monitor,Màn hình LCD
Technology,Công nghệ,Action Camera,Gopro / Action Cam,Mirrorless Camera,Máy ảnh Mirrorless
Objects,Đồ vật,Mug,Cốc sứ,Tumbler,Bình giữ nhiệt Tumbler
Objects,Đồ vật,Pencil Sharpener,Gọt bút chì,Eraser,Cục tẩy
Objects,Đồ vật,Desk Lamp,Đèn bàn,Night Light,Đèn ngủ
Objects,Đồ vật,Water Flask,Bình nước thủy tinh,Plastic Bottle,Chai nước nhựa
Objects,Đồ vật,Keychain,Móc khóa,Badge,Phù hiệu
Objects,Đồ vật,Tote Bag,Túi vải Tote,Paper Bag,Túi giấy
Objects,Đồ vật,Leather Belt,Thắt lưng da,Fabric Belt,Thắt lưng vải
Objects,Đồ vật,Nail Polish,Sơn móng tay,Lip Gloss,Son bóng
Objects,Đồ vật,Hair Clip,Kẹp tóc càng cua,Hair Tie,Dây buộc tóc
Objects,Đồ vật,Hand Mirror,Gương trang điểm cầm tay,Compact Powder,Phấn phủ trang điểm
Household,Đồ dùng gia đình,Air Humidifier,Máy phun sương / tạo ẩm,Dehumidifier,Máy hút ẩm
Household,Đồ dùng gia đình,Electric Fan,Quạt điện,Misting Fan,Quạt phun sương
Household,Đồ dùng gia đình,Induction Cooker,Bếp từ,Infrared Cooker,Bếp hồng ngoại
Household,Đồ dùng gia đình,Thermos Carafe,Phích nước,Water Kettle,Ấm đun nước
Household,Đồ dùng gia đình,Clothes Dryer,Máy sấy quần áo,Dehumidifier,Máy hút ẩm
Household,Đồ dùng gia đình,Dish Rack,Kệ úp bát,Spice Rack,Kệ đựng gia vị
Household,Đồ dùng gia đình,Bath Mat,Thảm nhà tắm,Floor Carpet,Thảm trải sàn
Places,Địa điểm,Ha Long Bay,Vịnh Hạ Long,Lan Ha Bay,Vịnh Lan Hạ
Places,Địa điểm,Ho Tay,Hồ Tây,Truc Bach Lake,Hồ Trúc Bạch
Places,Địa điểm,Dong Xuan Market,Chợ Đồng Xuân,Ben Thanh Market,Chợ Bến Thành
Places,Địa điểm,Hang Ma Street,Phố Hàng Mã,Ta Hien Street,Phố Tạ Hiện
Places,Địa điểm,Binh Thanh District,Quận Bình Thạnh,District 1,Quận 1
Places,Địa điểm,Cat Ba Island,Đảo Cát Bà,Co To Island,Đảo Cô Tô
Places,Địa điểm,Ba Den Mountain,Núi Bà Đen,Chua Chan Mountain,Núi Chứa Chan
Social Media,Mạng xã hội,TikTok,TikTok,Instagram Reels,Instagram Reels
Social Media,Mạng xã hội,TikTok,TikTok,YouTube Shorts,YouTube Shorts
Food,Món ăn,Pho,Phở,Bun Cha,Bún chả
Technology,Công nghệ,Grab,Grab,Gojek,Gojek
Technology,Công nghệ,Grab,Grab,Xanh SM,Xanh SM
Household,Đồ dùng gia đình,Air Conditioner,Máy lạnh,Air Fryer,Nồi chiên không dầu
Objects,Đồ vật,Lego,Lego,Rubik Cube,Khối Rubik
Vehicles,Phương tiện,Vision Bike,Xe Vision,Janus Bike,Xe Janus
Vehicles,Phương tiện,Wave Bike,Xe Wave,Dream Bike,Xe Dream
Places,Địa điểm,Hanoi,Hà Nội,Saigon,Sài Gòn
Places,Địa điểm,Hanoi,Hà Nội,Haiphong,Hải Phòng
Places,Địa điểm,Hanoi,Hà Nội,Danang,Đà Nẵng
